ID,URL,StartDate,EndDate,Quote,Message
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-01-18,2019-01-20,509.68,Error: A minimum stay of 3 nights applies.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-02-15,2019-02-17,496.84,Error: A minimum stay of 3 nights applies.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-03-15,2019-03-17,534.16,Error: A minimum stay of 3 nights applies.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-04-19,2019-04-21,388.38,Error: A minimum stay of 3 nights applies.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-05-03,2019-05-05,342.9,
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-05-24,2019-05-26,450.2,Error: A minimum stay of 3 nights applies.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-07-04,2019-07-06,468.86,Error: A minimum stay of 3 nights applies.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-10-11,2019-10-13,381.38,
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-11-08,2019-11-10,387.22,
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-11-28,2019-11-30,547.0,Error: A minimum stay of 4 nights applies.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2019-12-21,2020-01-01,2901.96,
11934,https://www.vacasa.com/unit.php?UnitID=11934,2018-01-12,2018-01-15,,One or more of the selected dates are not available.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2018-02-16,2018-02-19,,One or more of the selected dates are not available.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2018-03-16,2018-03-18,432.7,One or more of the selected dates are not available.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2018-03-30,2018-04-01,,One or more of the selected dates are not available.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2018-05-04,2018-05-06,292.74,One or more of the selected dates are not available.
11934,https://www.vacasa.com/unit.php?UnitID=11934,2018-05-25,2018-05-28,,One or more of the selected dates are not available.
