ID,URL,StartDate,EndDate,Quote,Message
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-01-18,2019-01-20,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-02-15,2019-02-17,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-03-15,2019-03-17,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-04-19,2019-04-21,"$1,980.24",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-05-03,2019-05-05,"$1,980.24",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-05-24,2019-05-26,"$2,157.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-07-04,2019-07-06,"$2,424.24",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-10-11,2019-10-13,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-11-08,2019-11-10,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-11-28,2019-11-30,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-12-21,2020-01-01,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-01-12,2018-01-15,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-02-16,2018-02-19,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-03-16,2018-03-18,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-03-30,2018-04-01,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-05-04,2018-05-06,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-05-25,2018-05-28,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-07-04,2018-07-07,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-08-31,2018-09-03,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-10-05,2018-10-08,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-11-09,2018-11-12,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-11-22,2018-11-24,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-12-21,2019-01-01,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-09-21,2018-09-23,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-09-28,2018-09-30,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-10-05,2018-10-07,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-10-12,2018-10-14,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-10-19,2018-10-21,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-10-26,2018-10-28,"$1,748.81",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-11-02,2018-11-04,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-11-09,2018-11-11,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-11-16,2018-11-18,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-11-23,2018-11-25,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-11-30,2018-12-02,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-12-07,2018-12-09,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-12-14,2018-12-16,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-12-21,2018-12-23,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2018-12-28,2018-12-30,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-01-04,2019-01-06,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-01-11,2019-01-13,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-01-25,2019-01-27,,Your search does not meet the minimum # of nights required. Please call with questions 310-780-3411
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-02-01,2019-02-03,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-02-08,2019-02-10,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-02-22,2019-02-24,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-03-01,2019-03-03,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-03-08,2019-03-10,"$3,600.84",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-03-22,2019-03-24,"$1,980.24",
1990-95163,https://www.fivestarvacationrental.com/booking/no-2-luxurious-castle-glen-estate/1990-95163,2019-03-29,2019-03-31,"$1,980.24",
