ID,URL,StartDate,EndDate,Quote,Message
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-01-18,2019-01-20,0,This Property is Available but requires a stay of at least 3 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-02-15,2019-02-17,0,This Property is Available but requires a stay of at least 3 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-03-15,2019-03-17,652.78,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-04-19,2019-04-21,529.49,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-05-03,2019-05-05,529.49,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-05-24,2019-05-26,0,This Property is Available but requires a stay of at least 3 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-07-04,2019-07-06,0,This Property is Available but requires a stay of at least 4 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-10-11,2019-10-13,0,We do not allow for Web reservations arriving 365 days from today. Please call a Reservationist 855.366.0800  to verify if this option may be available.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-11-08,2019-11-10,0,We do not allow for Web reservations arriving 365 days from today. Please call a Reservationist 855.366.0800  to verify if this option may be available.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-11-28,2019-11-30,0,We do not allow for Web reservations arriving 365 days from today. Please call a Reservationist 855.366.0800  to verify if this option may be available.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-12-21,2020-01-01,0,We do not allow for Web reservations arriving 365 days from today. Please call a Reservationist 855.366.0800  to verify if this option may be available.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-01-12,2018-01-15,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-02-16,2018-02-19,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-03-16,2018-03-18,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-03-30,2018-04-01,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-05-04,2018-05-06,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-05-25,2018-05-28,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-07-04,2018-07-07,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-08-31,2018-09-03,0,Invalid Travel Dates:  Arrival Date Is Before Today
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-10-05,2018-10-08,504.81,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-11-09,2018-11-12,504.81,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-11-22,2018-11-24,0,This Property is Available but requires a stay of at least 4 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-12-21,2019-01-01,0,This property is unavailable for the selected travel dates
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-09-21,2018-09-23,0,This property is unavailable for the selected travel dates
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-09-28,2018-09-30,529.49,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-10-05,2018-10-07,529.49,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-10-12,2018-10-14,0,This property is unavailable for the selected travel dates
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-10-19,2018-10-21,0,This property is unavailable for the selected travel dates
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-10-26,2018-10-28,0,This property is unavailable for the selected travel dates
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-11-02,2018-11-04,529.49,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-11-09,2018-11-11,529.49,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-11-16,2018-11-18,0,This property is unavailable for the selected travel dates
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-11-23,2018-11-25,0,This Property is Available but requires a stay of at least 4 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-11-30,2018-12-02,0,This property is unavailable for the selected travel dates
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-12-07,2018-12-09,652.78,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-12-14,2018-12-16,652.78,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-12-21,2018-12-23,0,This Property is Available but requires a stay of at least 4 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2018-12-28,2018-12-30,0,This Property is Available but requires a stay of at least 4 nights.
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-01-04,2019-01-06,652.78,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-01-11,2019-01-13,652.78,
91014,https://www.rsvacations.net/vacation-rental-home.asp?PageDataID=91014,2019-01-25,2019-01-27,652.78,
